Symbol,Interval,KLineStartTime,KLineEndTime,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp,AboveMAKLines
pengu,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00499509,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pol,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.19053827,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
polyx,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.15013704,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pond,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00846926,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
porto,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.96162963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
pyth,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.14273580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
quick,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.02688630,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
req,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.10676173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rei,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02392173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rlc,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,1.13501235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rvn,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.01098074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
rsr,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.00735260,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
sand,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.26827901,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
scrt,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.20286790,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
shell,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.13096667,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
snt,15m,2025-04-16T10:45:00+08:00,2025-04-16T10:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02159444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
solv,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.02642469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
strk,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.13312469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
sxp,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.20550494,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
syn,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.16292346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tao,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,312.96172840,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tia,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,2.49198765,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tko,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.15200988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tlm,15m,2025-04-17T17:45:00+08:00,2025-04-17T17:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00427654,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tru,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.03408395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
turbo,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.00209081,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
tut,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.02743877,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
uma,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,1.10208642,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
twt,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.77246296,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
utk,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.03047160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
velodrome,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.04562963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
vet,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.02353099,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
vic,15m,2025-04-21T12:45:00+08:00,2025-04-21T12:59:59+08:00,2025-04-21T12:52:05+08:00,81,0.20792222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
w,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.07599877,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
virtual,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.56807160,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
wbtc,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,85129.23407407,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
xec,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.00002035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
xlm,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.24433333,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
xvs,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,5.02641975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
ygg,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.18048148,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
zk,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,0.05078395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
zro,15m,2025-04-21T12:30:00+08:00,2025-04-21T12:44:59+08:00,2025-04-21T12:52:05+08:00,81,2.52060494,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,false,20
