Symbol,Interval,FoundTime,MAPeriod,CurrentMA,MA10MinAgo,MA30MinAgo,MAHourAgo,MA4HoursAgo,MADayAgo,ConsistentUp
sxp,15m,2025-04-20T21:31:06+08:00,81,0.20550494,0.20540988,0.20532840,0.20530741,0.20480370,0.00000000,true
t,15m,2025-04-20T21:31:06+08:00,81,0.01465457,0.01464901,0.01464210,0.01462901,0.01454704,0.00000000,true
tut,15m,2025-04-20T21:31:06+08:00,81,0.02619938,0.02616259,0.02612827,0.02606802,0.02574185,0.00000000,true
tlm,15m,2025-04-20T21:31:06+08:00,81,0.00427654,0.00427630,0.00427556,0.00427469,0.00426988,0.00000000,true
turbo,15m,2025-04-20T21:31:06+08:00,81,0.00206412,0.00206399,0.00206364,0.00206301,0.00205856,0.00000000,true
twt,15m,2025-04-20T21:31:06+08:00,81,0.76902346,0.76899877,0.76894938,0.76882963,0.76828519,0.00000000,true
usual,15m,2025-04-20T21:31:06+08:00,81,0.12273086,0.12259753,0.12249383,0.12234444,0.12165432,0.00000000,true
utk,15m,2025-04-20T21:31:06+08:00,81,0.02773506,0.02772975,0.02772012,0.02770790,0.02761123,0.00000000,true
uni,15m,2025-04-20T21:31:06+08:00,81,5.19116049,5.19035802,5.18909877,5.18695062,5.17172840,0.00000000,true
vtho,15m,2025-04-20T21:31:06+08:00,81,0.00258902,0.00258837,0.00258774,0.00258683,0.00256730,0.00000000,true
xusd,15m,2025-04-20T21:31:06+08:00,81,1.00028148,1.00028025,1.00028025,1.00027778,1.00027037,0.00000000,false
vet,15m,2025-04-20T21:31:06+08:00,81,0.02240975,0.02240173,0.02239198,0.02237457,0.02228062,0.00000000,true
wbeth,15m,2025-04-20T21:31:06+08:00,81,1693.25395062,1693.01358025,1692.68938272,1692.29580247,1688.80123457,0.00000000,true
xec,15m,2025-04-20T21:31:06+08:00,81,0.00001910,0.00001909,0.00001909,0.00001909,0.00001908,0.00000000,true
zk,15m,2025-04-20T21:31:06+08:00,81,0.04789136,0.04788519,0.04787407,0.04786296,0.04776667,0.00000000,true
